Video Title,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00007,standard_2025_07_16-1038_59.00007,standard_2025_07_16-1038_59.00007,standard_2025_07_16-1038_59.00007,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008
Initials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream
Crossing Treatment,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection
Refuge Island,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
User Type,bicyclist,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,,pedestrian,,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,bicyclist,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian
Group Size,1,1,1,3,3,3,1,1,1,1,1,,1,,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Estimated Gender,,,,female,female,female,male,male,female,male,female,,,,,,,,,,,,,,,female,female,,,male,male,male,female,female,female,female,male,male,,male,male,female,male,female,male,male,male,female,male,female,female,male,,,,,female,male,female,female,female,,male,female,,,
Estimated Age Group,other,other,other,,,36-50,21-35,21-35,21-35,>50,21-35,,other,,other,other,other,other,other,other,other,other,other,other,other,>50,>50,other,other,36-50,,,21-35,21-35,21-35,21-35,,21-35,21-35,21-35,,21-35,21-35,21-35,,,,21-35,21-35,21-35,21-35,21-35,other,other,other,other,21-35,21-35,21-35,21-35,,,,,other,other,other
Clothing Color,,,,white,,,blue,,white,black,,,,,,,,,,,,,,white,black,white,blue,black,white,white,white,,,black,black,green,,,black,black,black,,red,black,,white,,green,black,white,black,blue,,,,,green,black,,blue,red,,black,black,,,
Visibility Scale,2,2,2,3,3,3,3,2,3,2,3,,2,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,,3,3,2,,3,3,,3,3,,,,,3,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,,,
Estimated Visible Distrction,,,,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,no,no,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,no,no,no,no,no,no,no,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Roadway Crossing,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted,alighted
Bus Stop Arrival Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:43:49,16:43:40,16:43:40,15:37:06,15:37:06,15:37:06,16:43:49,15:40:29,16:43:49,16:43:40,16:43:40,16:43:40,16:43:52,16:43:52,16:43:52,16:43:52,16:43:52,16:43:52,16:43:52,16:43:52,16:43:52,17:06:32,17:06:32,17:06:32,17:48:40,18:08:41,18:08:41,18:08:41,18:08:41,18:08:41,18:08:41,18:08:41
Bus Stop Departure Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:44:17,16:43:58,16:43:58,15:38:33,15:38:33,15:38:33,16:44:17,15:41:02,16:44:17,16:44:05,16:44:05,16:44:05,16:44:17,16:44:17,16:44:17,16:44:17,16:44:17,16:44:17,16:44:17,16:44:17,16:44:17,17:06:46,17:06:46,17:06:46,17:53:08,18:08:59,18:08:59,18:08:59,18:08:59,18:08:59,18:08:59,18:08:59
Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crosswalk Crossing?,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Pedestrian Phase Crossing?,yes,yes,yes,,,,,,yes,,,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,,,,no,no,,,,,no,no,no,no,no,,,,,,,,,no,no,yes,,,,,yes,yes,yes
Intend to Cross Timestamp,15:00:32,15:00:32,15:00:32,15:01:09,15:01:09,15:01:09,15:02:19,15:02:44,15:02:50,15:03:10,15:03:41,N/A,15:04:53,N/A,15:07:13,15:07:14,15:07:14,15:09:14,15:09:11,15:09:11,15:00:32,15:00:32,15:14:38,15:14:45,15:14:38,15:14:51,15:14:51,N/A,15:20:15,15:20:45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:37:34,15:37:34,15:37:53,N/A,15:40:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:44:17,16:44:20,16:44:22,16:44:22,N/A,17:06:52,17:06:55,17:49:16,N/A,N/A,N/A,N/A,18:09:01,18:09:01,18:09:01
Crossing Start Time,15:00:33,15:00:33,15:00:33,15:01:10,15:01:10,15:01:10,15:02:21,15:02:44,15:02:50,15:03:11,15:03:41,N/A,15:04:56,N/A,15:07:16,15:07:16,15:07:16,15:09:16,15:09:14,15:09:14,15:13:02,15:13:02,15:14:48,15:14:48,15:14:51,15:14:53,15:14:53,15:17:06,15:20:22,15:20:46,15:21:28,15:21:28,15:23:36,15:23:39,15:23:36,N/A,N/A,N/A,15:37:35,15:37:35,15:37:54,N/A,15:40:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:44:17,16:44:22,16:44:23,16:44:23,17:06:47,17:06:55,17:06:55,17:49:30,N/A,N/A,N/A,N/A,18:09:04,18:09:04,18:09:04
Refuge Island Start Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:37:44,15:37:44,15:37:59,N/A,15:40:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Refuge Island End Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:37:46,15:37:46,15:38:01,N/A,15:40:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Did User Finish Crossing During Pedestrian Phase?,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,,,,,yes,yes,yes,yes,no,,,,no,no,no,no,,,
Crossing End Time,15:00:42,15:00:46,15:00:54,15:01:18,15:01:18,15:01:18,15:02:30,15:02:53,15:03:16,15:03:24,15:03:50,N/A,15:05:08,N/A,15:07:30,15:07:33,15:07:33,15:09:33,15:09:33,15:09:33,15:13:17,15:13:20,15:14:56,15:15:06,15:15:03,15:15:24,15:15:24,15:17:19,15:20:36,15:20:56,15:21:48,15:21:48,15:23:49,15:23:54,15:23:54,N/A,N/A,N/A,15:37:53,15:37:53,15:38:04,N/A,15:40:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:44:34,16:44:35,16:44:41,16:44:41,17:06:56,17:07:17,17:07:11,17:49:50,N/A,N/A,N/A,N/A,18:09:20,18:09:20,18:09:20
Crossing Interaction Notes,cyclist,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,,walk,,run,run,run,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,courtesy,walk,walk,walk,walk,walk,,,,walk,walk,walk,,walk,,,,,,,,,,walk,walk,walk,walk,walk,walk,courtesy,walk,courtesy,walk,walk,,walk,walk,walk
Bus Presence,no,no,no,no,no,no,no,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,yes,yes,yes,,yes,,,,,,no,,,,yes,yes,yes,yes,no,no,no,yes,yes,no,no,,yes,yes,yes
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,behind,behind,behind,,behind,,,,,,,,,,behind,behind,behind,behind,,,,behind,front,,,,behind,behind,behind
Crossing Location Relative to Bus Stop,upstream,upstream,upstream,downstream,downstream,downstream,downstream,downstream,upstream,downstream,downstream,,upstream,,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,downstream,downstream,upstream,upstream,downstream,downstream,downstream,downstream,downstream,downstream,,,,,,,,,,,,,,,,,,upstream,upstream,upstream,upstream,downstream,downstream,downstream,upstream,downstream,downstream,downstream,,upstream,upstream,upstream
Bus Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicle Traffic,,,,,,,light,light,,,,,,,,,,,,,,,,,,,,,,light,light,,,,,,,,light,light,light,,light,,,,,,,,,,,,,,light,light,light,,light,light,light,,,,
General Reviewer Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
