fid,GEOID20,Agency_Acr_clean,agency_correct_name,STOP_ID,GTFSSTOP_NAME,stop_lat,stop_lon,Num Bus Routes,Num Bus Trips,Dist To Street,Median_Type,Median Width,Travel Lanes,Curb,AADT,AADTYear,Left_Sidewalk_Width,Right_Sidewalk_Width,Shoulder_Left_Type,Left Shoulder Width,Shoulder_Right_Type,Right Shoulder Width,Speed Limit1,Regulation Speed Limit,Federal_Functional_Class,Functional_Class,Bus.Stop.Configuration,Control.of.Nearest.Intersection,Lighting,Length,Dist To Intersecting Street,IntersectingJurisdiction,Intersecting.Functional.Class,Intersecting.Federal.Class.Class,Intersecting Lanes,IntersectingMedian,GTFSID,location_type,parent_station,Wheelchair Boarding,Marked Bus Sign Present,Bus.Stop.Configuration...56,Control.of.Nearest.Intersection...57,Roadway.Width..Curb.to.Curb.,Dist To Intersection ft,Dist To Signal ft,Dist To Crosswalk ft,Existing.Ped.Warning.Sign,Shoulder..Estimated.width..0.if.not.drivable.,Total.Travel.Lanes..combined.,Presence.of.Two.Way.Left.Turn.Lane,StateSignalType,SignalizedIntersection,SignalizedWithin250,Dist To Intersection Meters,Dist To Signal Meters,NearestIntersectionSignal,NearestSignalGeo,NearestSignalLegCount,NearestSignalTrafficControl,NearestInterectionGeo,NearestIntersectionLegCount,Nearest.Intersection.Traffic.Control,Intersection Crosswalks,Intersection Crosswalk Polygons,Nearest.Signal.Total.Crosswalks,Signal Crosswalks,Bus.Stop.Total.Crosswalks,Bus Stop Crosswalks,crashes_within_300ft,crash_count,crash_count_K,crash_count_A,crash_count_B,crash_count_C,crash_count_O,crash_count_NA,crash_count_total,BG Population,BG Housing Units,BG Area Sqft,pop,fpop_p,mpop_p,pop65ovp,Pct Female Over65,Pct Male Over 65,nh_p,nhwhi_p,Pct Non-Hisp Black,Pct Non-Hisp AIAN,nhas_p,Pct Non-Hisp NHOPI,Pct Non-Hisp Other Race,Pct Non-Hisp Multiracial,lat_p,English Speakers,Pct English Speakers,Pct Limited English,Pct No English,Pct Spanish Speakers,Pct Spanish Limited Eng,Pct Spanish No Eng,Pct Euro Speakers,Pct Euro Limited Eng,Pct_Euro_No_Eng,Pct Asian Speakers,Pct Asian Limited Eng,Pct Asian No Eng,Pct Other Lang Speakers,Pct Other Limited Eng,Pct Other No Eng,Median HH Income,nohs_p,Pct Less Than HS,Pct HS Grad,asba_p,Pct Bachelors Plus,Pct Commute Transit,Pct Commute Bike,Pct Commute Walk,hh10,veh_tot,pass_veh,veh_phh,mipday_phh,Daily VMT Pass Veh,comm_vmt,Daily VMT All,Passenger Veh Age,New Vehicles per HH,STREETNAME,CLASS,ADMIN_TYPE,RT_NUMBER,ALTRTNUM1,ALTRTNUM2,ALTRTNUM3,ALTRTNUM4,ALTRT1TYPE,RDTYPE,ROUTE_ID,ROUTE_SYST,ROUTE_NUMB,ROUTE_DIRE,RD_SEG_ID,STREET_NAM,FM_ST_NAME,TO_ST_NAME,FACILITY,F_CLASS,Census Urbanized Area,URBAN_TYPE,F_F_CLASS,JURISDICTN,NHS,FD_AID_RTE,FD_AID_RD,Access Control,Num Lanes,Num Lanes Opposing,SURFACE_TP,Road Width ft,SHLDR_RT_W,Primary Shoulder Type,SHLDR_LT_W,SHLDR_LT_T,SHLDR_UL_W,Opposing Direction Shoulder Type,Median Width ft,MED_TYPE,CURB,Sidewalk Width Left ft,Sidewalk Width Right ft,OPERATION,Speed Limit2
16017,2.50E+11,WRTA,Worcester Regional Transit Authority,712,BELMONT ST + EDWARD ST,42.272096,-71.7927,1,41,5.476338646,None,0,3,Both sides,20928,2020,8,8,No Shoulder,0,No Shoulder,0,30,0,Principal Arterial - Other,Urban or Rural Principal,0,0,0,0.0642195,0,0,0,0,0,0,8083,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,No Signalized Intersections Within 250FT,0,63.34149114,0,0,Cross-Intersection (4 Legs),0,0,Cross-Intersection (4 Legs),4,Two-Way Stop,2,2,0,0,4,3,41,41,0,6,14,12,6,3,41,1091,456.5,3172047.31,1093,42.73,57.27,5.12,2.65,2.47,55.9,19.4,8.05,0,9.33,0,11.99,7.14,44.1,408,42.63,16.2,1.04,24.76,23.21,4.22,22.05,31.75,0,2.72,0,0,7.84,44,0,36453,3.67,31.58,37.32,4.47,8.29,0,0,0,382,533.288,456.144,1.19,36.7023,14068.5301,5642.9139,18150.5637,10.88,1.194094241,EDWARD STREET,Minor street or road with RI info,Not a numbered route,0,0,0,0,0,0,Minor street or road with RI info,L180606 NB,Local Road,180606,NB,0,EDWARD STREET,LAUREL STREET,BELMONT STREET,Mainline_roadway,Local,97291,Large Urbanized Area,Local,City or Town accepted raod,0,0,0,0,2,0,6,34,0,0,0,0,0,0,0,0,bothsides,7,7,2,0
13425,2.50E+11,PVTA,Pioneer Valley Transit Authority,254,Northampton Court House,42.319327,-72.630251,2,32,10.51583513,None,0,2,Both sides,9441,2020,12,12,No Shoulder,0,No Shoulder,0,25,25,Principal Arterial - Other,Urban or Rural Principal,0,0,0,0.0368771,0,City or Town accepted Road,Urban Collector or Rural Minor Collector,Major Collector,2,None,5490,0,0,1,0,0,0,0,0,0,0,None,0,0,0,0,At Signalized Intersection,1,50.79778453,50.79778453,1,Cross-Intersection (4 Legs),4,Signalized (With Ped Signal),Cross-Intersection (4 Legs),4,Signalized (With Ped Signal),5,1,5,1,6,3,18,18,0,2,10,4,2,0,18,1369.5,866,12854936.83,1375,55.93,44.07,16.15,9.09,7.05,89.45,84.15,2.25,0,0,0,0,3.05,10.55,1172,86.24,0,0,8.39,0,0,2.13,0,0,1.32,0,0,1.91,0,0,51625,3.49,8.59,11.43,37.2,63.93,4.17,3.26,18.23,729,786.7636,708.8818,0.97,30.2564,22111.5829,3481.0049,24634.8271,9.52,0.972403018,KING STREET,Other numbered route,U.S. Highway,5,10,0,0,0,3,Other numbered route,US5 NB,US Highway,5,NB,283702,KING STREET,MAIN STREET,DAMON ROAD,Mainline_roadway,Ubran minor arterial or rural major collector,83926,Large Urbanized Area,Minor Arterial,City or Town accepted raod,0,113,2,0,2,0,6,14,0,0,0,0,0,0,0,0,bothsides,0,6,2,25
13123,2.50E+11,PVTA,Pioneer Valley Transit Authority,1670,Mill + Locust (N),42.090679,-72.577215,7,204,9.006812836,None,0,2,Both sides,11050,2021,10,10,No Shoulder,0,No Shoulder,0,30,0,Principal Arterial - Other,Urban Principal or Rural Minor Arterial,0,0,0,0.0108084,0,0,0,0,0,0,5188,0,0,1,0,0,0,0,0,0,0,None,0,0,0,0,At Signalized Intersection,1,22.16282038,22.16282038,1,Five or More Legs and Not Circular,5,Signalized (W/O Ped Signal),Five or More Legs and Not Circular,5,Signalized (W/O Ped Signal),4,2,4,2,9,6,18,18,1,1,7,5,4,0,18,1489.75,642.5,5109557.398,1616.666667,49.61,50.39,7.06,3.616666667,3.44,41.86333333,8.16,28.46333333,0,1.27,0,3.51,0.466666667,58.13666667,708.3333333,48.14,9.346666667,3.266666667,45.88,11.76666667,5.683333333,0.303333333,0,0,0.323333333,0,0,5.353333333,53.45,0,22715.66667,18.25,41.93333333,32.44,7.52,4.69,8.243333333,0.363333333,6.986666667,562.3333333,518.161,490.5805,0.813333333,23.17696667,14055.4469,427.1302,14778.6771,12.41,0.809767671,BELMONT AVENUE,Major road - arterials and collectors,Not a numbered route,0,0,0,0,0,0,Major road - arterials and collectors,N008 EB,Not a numbered route,8,EB,362959,BELMONT AVENUE,SUMNER AVENUE,LOCUST STREET,Mainline_roadway,Rural minor arterial or urban principle arterial,83926,Large Urbanized Area,Principle Arterial_Other,City or Town accepted raod,14,10,2,0,2,0,6,28,0,0,0,0,0,0,0,0,bothsides,10,10,2,30
12842,2.50E+11,PVTA,Pioneer Valley Transit Authority,1341,State + Orleans,42.109455,-72.573253,9,198,5.728246595,None,0,4,Both sides,19385,2021,8,8,No Shoulder,0,Hardened bituminous mix or penetration,2,35,0,Principal Arterial - Other,Urban Principal or Rural Minor Arterial,0,0,0,0.0639682,0,0,0,0,0,0,4907,0,0,1,0,0,0,0,0,0,0,None,0,0,0,0,No Signalized Intersections Within 250FT,0,48.56840166,0,0,Cross-Intersection (4 Legs),0,0,Cross-Intersection (4 Legs),4,Two-Way Stop,1,1,0,0,4,4,17,17,1,4,5,4,3,0,17,1134,416,5384179.945,1155.5,47.96,52.04,8.305,4.92,3.38,34.185,8.4,18.295,0,0.235,0,0.32,6.935,65.815,602.5,46.575,7.05,0.85,50.62,15.095,3.095,0.755,0,0,0,0,0,2.05,0,0,24777,22.32,31.01,23.41,15.905,19.325,0.145,0.295,2.205,344.5,417.674,384.837,1.05,27.4631,10256.3072,1212.4463,11290.37495,12.63,1.049347919,LILLIAN STREET,Minor street or road with RI info,Not a numbered route,0,0,0,0,0,0,Minor street or road with RI info,L190221 EB,Local Road,190221,EB,0,LILLIAN STREET,OAK STREET,ORLEANS STREET,Mainline_roadway,Local,83926,Large Urbanized Area,Local,City or Town accepted raod,0,0,0,0,2,0,6,23,0,0,0,0,0,0,0,0,bothsides,5,5,2,0
13586,2.50E+11,PVTA,Pioneer Valley Transit Authority,460,Main + Cabot,42.200408,-72.60671,2,11,6.830031727,None,0,2,Both sides,5457,2021,10,10,No Shoulder,0,No Shoulder,0,30,0,Minor Arterial,Urban Minor Arterial or Rural Major Collector,0,0,0,0.096966,0,0,0,0,0,0,5651,0,0,1,0,0,0,0,0,0,0,None,0,0,0,0,At Signalized Intersection,1,52.93150542,52.93150542,1,Cross-Intersection (4 Legs),4,Signalized (With Ped Signal),Cross-Intersection (4 Legs),4,Signalized (With Ped Signal),4,1,4,1,5,2,12,12,0,2,3,6,1,0,12,1140,385,7436058.02,1041,48.41,51.59,4.42,1.06,3.36,8.65,4.8,2.11,0,0,0,0,1.73,91.35,118,12.36,19.79,17.28,87.43,22.63,19.76,0.21,0,0,0,0,0,0,0,0,16094,22.74,38.63,31.39,4.23,1.21,16.4,0,4.23,331,263.0406,220.0203,0.66,14.3039,4768.412,2012.5499,6509.8866,14.8,0.664713897,MAIN STREET,Major road - arterials and collectors,Not a numbered route,0,0,0,0,0,0,Major road - arterials and collectors,N4911 NB,Not a numbered route,4911,NB,185706,MAIN STREET,LYMAN STREET,WEST SPRINGFIELD TOWN LINE,Mainline_roadway,Ubran minor arterial or rural major collector,83926,Large Urbanized Area,Minor Arterial,City or Town accepted raod,0,55-3,3,0,2,0,6,40,0,0,0,0,0,0,0,0,bothsides,10,10,2,30
13201,2.50E+11,PVTA,Pioneer Valley Transit Authority,1746,Dickinson + Sumner (2),42.085866,-72.55747,3,38,7.852033401,None,0,2,Both sides,7235,2021,6,6,No Shoulder,0,No Shoulder,0,30,30,Minor Arterial,Urban Minor Arterial or Rural Major Collector,0,0,0,0.0461793,35.08751337,Unaccepted by city or town,Local,Local,2,None,5266,0,0,1,0,0,0,0,0,0,0,None,0,0,0,0,At Signalized Intersection,1,36.94133674,36.94133674,1,Five or More Legs and Not Circular,5,Signalized (W/O Ped Signal),Five or More Legs and Not Circular,5,Signalized (W/O Ped Signal),8,2,8,2,11,3,11,11,0,2,6,0,3,0,11,1087.2,448.6,9938750.394,1314.666667,49.9,50.1,5.816666667,4.423333333,1.393333333,46.27,20.14333333,19.30333333,0.646666667,2.64,0,0,3.536666667,53.73,692.6666667,54.45666667,11.48333333,2.58,39.62333333,23.33666667,6.76,1.516666667,0,0,4.403333333,55.95,0,0,0,0,31385.33333,17.73,40.51,36.96666667,8.323333333,3.973333333,5.633333333,0,0.086666667,382,501.6388667,479.4861,1.246666667,36.7167,14190.3335,542.8616333,14869.72527,11.64666667,1.245965128,SUMNER AVENUE,"Multi-lane Highway, not limited access",State Route,83,0,0,0,0,0,"Multi-lane Highway, not limited access",SR83 NB,State Route,83,NB,361996,SUMNER AVENUE,ALLEN STREET,LONGHILL STREET,Mainline_roadway,Rural minor arterial or urban principle arterial,83926,Large Urbanized Area,Principle Arterial_Other,City or Town accepted raod,14,11,2,0,2,2,6,22,0,0,0,0,0,0,8,Raised Median,bothsides,0,6,2,30
15691,2.50E+11,WRTA,Worcester Regional Transit Authority,276,SHREWSBURY ST + LEO TUORO WAY,42.262735,-71.792146,1,22,7.280712242,None,0,2,Both sides,682,0,5,5,No Shoulder,0,No Shoulder,0,0,0,Local,Local,0,0,0,0.071099,7.819971275,City or Town accepted Road,Urban Principal or Rural Minor Arterial,Principal Arterial - Other,4,None,7757,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,No Signalized Intersections Within 250FT,0,9.19396851,0,0,T-Intersection,0,0,T-Intersection,3,Two-Way Stop,1,1,0,0,3,3,10,10,0,1,4,0,2,3,10,1380,747.5,6005925.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MULBERRY STREET,Minor street or road with RI info,Not a numbered route,0,0,0,0,0,0,Minor street or road with RI info,L139582 NB,Local Road,139582,NB,0,MULBERRY STREET,SHREWSBURY STREET,SHELBY STREET,Mainline_roadway,Local,97291,Large Urbanized Area,Local,City or Town accepted raod,0,0,0,0,2,0,6,27,0,0,0,0,0,0,0,0,bothsides,2,5,1,0
14639,2.50E+11,SRTA,Southeastern Regional Transit Authority,305,Ashley Blvd and Sawyer St,41.657248,-70.929701,2,62,9.433276526,None,0,2,Both sides,2410,2021,5,8,No Shoulder,0,No Shoulder,0,25,0,Major Collector,Urban Collector or Rural Minor Collector,0,0,0,0.0560932,0,0,0,0,0,0,6706,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,At Signalized Intersection,1,38.11536359,38.11536359,1,Cross-Intersection (4 Legs),4,Signalized (With Ped Signal),Cross-Intersection (4 Legs),4,Signalized (With Ped Signal),4,1,4,1,6,3,15,15,0,4,4,4,3,0,15,1480,603,3890869.75,1185.666667,54.18,45.82,7.73,5.76,1.973333333,57.89,47.24666667,4.77,0.526666667,1.51,0,1.75,2.083333333,42.11,550.3333333,49.87,17.23333333,6.016666667,31.76666667,45.58333333,13.54,17.71333333,22.99,10.70333333,0.406666667,37.5,0,0.24,50,50,35239.66667,18.21333333,35.34666667,36.3,10.13666667,10.16666667,3.953333333,0,13.48666667,453,640.9413333,469.9706667,1.04,32.14806667,14585.51667,5796.256,20347.63207,12.00666667,1.040894316,JEAN STREET,Minor street or road with RI info,Not a numbered route,0,0,0,0,0,0,Minor street or road with RI info,L207983 NB,Local Road,207983,NB,0,JEAN STREET,SAWYER STREET,COGGESHALL STREET,Mainline_roadway,Local,61786,Small Urbanized Area,Local,City or Town accepted raod,0,0,0,0,2,0,6,24,0,0,0,0,0,0,0,0,bothsides,6,8,2,0
