Video Title,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00018.mp4,STANDARD_2025_11_13-1902_42.00018.mp4,STANDARD_2025_11_13-1902_42.00018.mp4,STANDARD_2025_11_13-1902_42.00018.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00012.mp4,,,,,,,,,,,,,,,,,,,
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Location Name,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,
Group Size,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Estimated Gender,Female,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Male,Male,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Hard to Tell,Male,Female,Male,Male,Male,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Hard to Tell,Male,Female,Female,Male,Male,Male,Male,Female,,,,,,,,,,,,,,,,,,,
Estimated Age Group,21-35,Hard to Tell,Hard to Tell,>50,Hard to Tell,>50,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,21-35,Hard to Tell,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,>50,>50,>50,Hard to Tell,,,,,,,,,,,,,,,,,,,
Clothing Color,black,Hard to Tell,black,orange,Hard to Tell,black,white,yellow,black,black,Hard to Tell,Hard to Tell,Hard to Tell,grey,Hard to Tell,grey,black,grey,red,blue,black,black,black ,black,black,black ,"red, blue",black,black,black,black,black,"black, whit",black,black,black,red,black,black,blue,blue,black,,,,,,,,,,,,,,,,,,,
Visibility Scale,2,1,1,3,,2,3,3,2,2,2,2,2,3,,2,3,2,3,3,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,Hard to Tell,Hard to Tell,No,Hard to Tell,No,No,No,No,No,No,Hard to Tell,Hard to Tell,No,Hard to Tell,No,Hard to Tell,No,No,No,No,No,No,No,No,Hard to Tell,No,No,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,Hard to Tell,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,carrying lots of bags,,,,,,,,,,carrying something,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,,,,,,,,Alighted,,,,,Alighted,Alighted,Alighted,Alighted,,,,,,Alighted,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,16:20:59,16:20:59,16:20:59,16:20:59,,,,,,,,14:51:52,,,,,13:20:58,13:20:58,13:20:58,13:20:58,,,,,,7:29:03,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,16:21:08,16:21:08,16:21:11,16:21:11,,,,,,,,14:51:56,,,,,13:21:02,13:21:05,13:21:08,13:21:13,,,,,,7:29:10,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,,Yes,No,No,Yes,Yes,No,No,No,No,Yes,,No,No,No,No,,,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,Yes,N/A,N/A,Yes,N/A,Yes,Yes,Yes,No,No,N/A,N/A,N/A,Yes,N/A,Yes,,No,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,Yes,,N/A,N/A,N/A,N/A,,,N/A,N/A,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,3:05:42 PM,,3:16:44 PM,3:17:59 PM,3:21:59 PM,3:26:04 PM,3:29:39 PM,3:33:47 PM,3:36:46 PM,3:36:46 PM,3:38:28 PM,3:48:01 PM,3:48:01 PM,3:58:29 PM,3:59:51 PM,4:03:54 PM,,4:21:09 PM,4:21:18 PM,4:21:18 PM,4:32:39 PM,4:45:59 PM,2:04:29 PM,2:05:54 PM,2:18:16 PM,2:20:56 PM,2:30:24 PM,,2:53:19 PM,2:53:19 PM,2:56:21 PM,2:57:54 PM,,,1:21:16 PM,1:21:16 PM,12:02:37 PM,12:06:21 PM,12:08:35 PM,12:22:49 PM,12:34:36 PM,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:06:17 PM,3:15:58 PM,3:16:52 PM,3:18:35 PM,3:22:00 PM,3:26:52 PM,3:29:39 PM,3:33:54 PM,3:36:48 PM,3:36:48 PM,3:38:44 PM,3:48:01 PM,3:48:01 PM,3:59:05 PM,3:59:54 PM,4:04:39 PM,,4:21:09 PM,4:21:18 PM,4:21:18 PM,4:32:58 PM,4:46:09 PM,2:04:29 PM,2:06:41 PM,2:18:21 PM,2:20:59 PM,2:30:59 PM,,2:53:23 PM,2:53:23 PM,2:56:21 PM,2:57:54 PM,,,1:22:07 PM,1:22:07 PM,12:03:05 PM,12:06:21 PM,12:09:22 PM,12:23:16 PM,12:35:26 PM,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,3:06:30 PM,,,,,,3:29:42 PM,15:34:04,,,,,,3:59:16 PM,,,,16:21:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,3:06:47 PM,,,,,,15:30:25,15:34:46,,,,,,15:59:46,,,,16:21:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,No,N/A,Yes,Yes,Yes,No,No,N/A,N/A,N/A,Yes,N/A,N/A,,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,No,,N/A,N/A,N/A,N/A,,,N/A,N/A,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:07:06 PM,3:16:02 PM,3:16:59 PM,3:18:51 PM,3:22:10 PM,3:27:04 PM,3:30:31 PM,3:34:58 PM,3:37:02 PM,3:37:02 PM,3:38:53 PM,3:48:09 PM,3:48:11 PM,15:59:57,4:00:06 PM,4:04:49 PM,,4:21:41 PM,4:21:39 PM,4:21:39 PM,4:33:07 PM,4:46:18 PM,2:04:39 PM,2:06:52 PM,2:18:31 PM,2:21:11 PM,2:31:21 PM,,2:53:31 PM,2:53:31 PM,2:56:32 PM,2:58:01 PM,,,1:22:20 PM,1:22:18 PM,12:03:15 PM,12:06:26 PM,12:09:34 PM,12:23:27 PM,12:35:38 PM,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Run,Run,Walk,Courtesy Run,Walk,Run,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Courtesy Run,Courtesy Run,Walk,Courtesy Run,,,Walk,Walk,Walk,Run,Walk,Walk,Walk,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Downstream,Downstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Upstream,Downstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Downstream,Downstream,Downstream,Downstream,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,"crosses main road at crosswalk during phase, then crosses side road not at a crosswalk",,,,,,,,,,,,,"first crosses mainroad at crosswalk, then side road not on a crosswalk",,,,"first crosses side road, then mainroad",crosses diagonal,crosses diagonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,3,2,2,3,3,3,3,3,2,2,2,2,2,3,3,3,,3,3,3,3,3,2,3,3,2,3,,2,2,2,1,,,3,3,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,"crosses main road at crosswalk during phase, then crosses side road (left) not at a crosswalk",far down the road,far down the road,,far down the road,,"first crosses side road not at crosswalk, then mainroad at crosswalk","first crosses side road at crosswalk, then mainroad at crosswalk",cars wait for them,cars wait for them,,,,,,,,,,,,,,,,,crosses side road at crosswalk after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
